stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
147	serving.s147	fused_attention	160	4202234.6886020424	4275026.3783939788	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
148	serving.s148	attention_merge	32	4272801.2698605787	4281142.65815756	56459.782751999999	50764.941343999999	14590.94181060791	34372.108895999998
149	serving.s149	gemm	64	4282378.0699585602	4297555.094320287	112919.565504	197821.02374400001	591844.75211054087	68744.217791999996
150	serving.s150	rmsnorm	4	4298790.5061212871	4303544.1045286451	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
151	serving.s151	swiglu_gemm	96	4304779.5163296452	4366819.027227398	169379.348256	438657.45139200002	5244639.9198482931	103116.326688
152	serving.s152	gemm	64	4368054.4390283981	4401726.6118935784	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
153	serving.s153	rmsnorm	4	4402962.0236945786	4407715.6221019365	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
154	serving.s154	gemm	128	4408951.0339029366	4432716.0759779923	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
155	serving.s155	fused_attention	160	4433951.4877789924	4506743.1775709288	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
156	serving.s156	attention_merge	32	4504518.0690375287	4512859.4573345101	56459.782751999999	50764.941343999999	14590.94181060791	34372.108895999998
157	serving.s157	gemm	64	4514094.8691355102	4529271.893497237	112919.565504	197821.02374400001	591844.75211054087	68744.217791999996
158	serving.s158	rmsnorm	4	4530507.3052982371	4535260.9037055951	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
159	serving.s159	swiglu_gemm	96	4536496.3155065952	4598535.826404348	169379.348256	438657.45139200002	5244639.9198482931	103116.326688
160	serving.s160	gemm	64	4599771.2382053481	4633443.4110705284	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
161	serving.s161	rmsnorm	4	4634678.8228715286	4639432.4212788865	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
162	serving.s162	gemm	128	4640667.8330798866	4664432.8751549423	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
163	serving.s163	fused_attention	160	4665668.2869559424	4738459.9767478788	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
164	serving.s164	attention_merge	32	4736234.8682144787	4744576.2565114601	56459.782751999999	50764.941343999999	14590.94181060791	34372.108895999998
165	serving.s165	gemm	64	4745811.6683124602	4760988.692674187	112919.565504	197821.02374400001	591844.75211054087	68744.217791999996
166	serving.s166	rmsnorm	4	4762224.1044751871	4766977.7028825451	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
167	serving.s167	swiglu_gemm	96	4768213.1146835452	4830252.625581298	169379.348256	438657.45139200002	5244639.9198482931	103116.326688
168	serving.s168	gemm	64	4831488.0373822981	4865160.2102474784	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
169	serving.s169	rmsnorm	4	4866395.6220484786	4871149.2204558365	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
170	serving.s170	gemm	128	4872384.6322568366	4896149.6743318923	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
171	serving.s171	fused_attention	160	4897385.0861328924	4970176.7759248288	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
172	serving.s172	attention_merge	32	4967951.6673914287	4976293.0556884101	56459.782751999999	50764.941343999999	14590.94181060791	34372.108895999998
173	serving.s173	gemm	64	4977528.4674894102	4992705.491851137	112919.565504	197821.02374400001	591844.75211054087	68744.217791999996
174	serving.s174	rmsnorm	4	4993940.9036521371	4998694.5020594951	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
175	serving.s175	swiglu_gemm	96	4999929.9138604952	5061969.424758248	169379.348256	438657.45139200002	5244639.9198482931	103116.326688
176	serving.s176	gemm	64	5063204.8365592482	5096877.0094244285	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
177	serving.s177	rmsnorm	4	5098112.4212254286	5102866.0196327865	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
178	serving.s178	gemm	128	5104101.4314337866	5127866.4735088423	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
179	serving.s179	fused_attention	160	5129101.8853098424	5201893.5751017788	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
180	serving.s180	attention_merge	32	5199668.4665683787	5208009.8548653601	56459.782751999999	50764.941343999999	14590.94181060791	34372.108895999998
181	serving.s181	gemm	64	5209245.2666663602	5224422.291028087	112919.565504	197821.02374400001	591844.75211054087	68744.217791999996
182	serving.s182	rmsnorm	4	5225657.7028290872	5230411.3012364451	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
183	serving.s183	swiglu_gemm	96	5231646.7130374452	5293686.223935198	169379.348256	438657.45139200002	5244639.9198482931	103116.326688
184	serving.s184	gemm	64	5294921.6357361982	5328593.8086013785	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
185	serving.s185	rmsnorm	4	5329829.2204023786	5334582.8188097365	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
186	serving.s186	gemm	128	5335818.2306107366	5359583.2726857923	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
187	serving.s187	fused_attention	160	5360818.6844867924	5433610.3742787289	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
188	serving.s188	attention_merge	32	5431385.2657453287	5439726.6540423101	56459.782751999999	50764.941343999999	14590.94181060791	34372.108895999998
189	serving.s189	gemm	64	5440962.0658433102	5456139.090205037	112919.565504	197821.02374400001	591844.75211054087	68744.217791999996
190	serving.s190	rmsnorm	4	5457374.5020060372	5462128.1004133951	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
191	serving.s191	swiglu_gemm	96	5463363.5122143952	5525403.023112148	169379.348256	438657.45139200002	5244639.9198482931	103116.326688
