group	round	sample	l1_ms	l2_ms	status
correct_gqa2_s4_eft	-	13	0.341504	0.254432	PASS
correct_gqa2_s4_eft	-	14	0.341984	0.253536	PASS
correct_gqa2_s4_eft	-	15	0.342496	0.253888	PASS
correct_gqa2_s4_eft	-	16	0.340128	0.253632	PASS
correct_gqa2_s4_eft	-	17	0.340672	0.253920	PASS
correct_gqa2_s4_eft	-	18	0.340256	0.255136	PASS
correct_gqa2_s4_eft	-	19	0.340704	0.251904	PASS
correct_gqa2_s4_eft	-	2	0.341344	0.254080	PASS
correct_gqa2_s4_eft	-	20	0.340448	0.254464	PASS
correct_gqa2_s4_eft	-	21	0.341568	0.253760	PASS
correct_gqa2_s4_eft	-	22	0.341536	0.254752	PASS
correct_gqa2_s4_eft	-	23	0.339936	0.253792	PASS
correct_gqa2_s4_eft	-	24	0.341888	0.254496	PASS
